drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
Daliresp,COPD,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, depression, trouble sleeping, or if you feel impulsive, or you have thoughts about suicide or hurting yourself. Call your doctor at once if you have rapid and unintended weight loss. rapid and unintended weight loss; tremors; pain or burning when you urinate; Common Daliresp side effects may include: nausea, diarrhea; loss of appetite, minor weight loss; headache, dizziness; occasional sleep problems; back pain; or flu symptoms.",roflumilast,Selective phosphodiesterase-4 inhibitors,18%,RX,C,
budesonide / formoterol,COPD,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Budesonide and formoterol may cause serious side effects. Call your doctor at once if you have: worsened breathing problems; sores or white patches in your mouth and throat, pain when swallowing; tremors, nervousness , chest pain, fast or pounding heartbeats; cough with mucus, feeling short of breath; wheezing, choking, or other breathing problems after using this medication; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; flu symptoms--fever, chills, body aches, unusual tiredness; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder--tiredness or weakness, feeling light-headed, nausea , vomiting . Budesonide can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using budesonide and formoterol. Common side effects of budesonide and formoterol may include: throat pain or irritation; white patches in your mouth or throat; stomach discomfort, vomiting; back pain , headache ; flu symptoms; or cold symptoms such as stuffy or runny nose , sneezing, sinus pain, sore throat .",budesonide and formoterol,Bronchodilator combinations,15%,RX,C,
Tudorza Pressair,COPD,"hives, itching, rash, wheezing, chest tightness, trouble breathing, swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medication; blurred vision, nausea, vomiting, eye pain or redness, or seeing halos or bright colors around lights; increased urination, painful or difficult urination; little or no urinating; or worsening or no improvement in your symptoms. Common Tudorza Pressair side effects may include: stuffy nose, sore throat, sinus pain; cough; or headache.",aclidinium,Anticholinergic bronchodilators,14%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Stiolto Respimat
Incruse Ellipta,COPD,"hives , rash, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; blurred vision, nausea , vomiting , eye pain or redness, or seeing halos or bright colors around lights; or painful or difficult urination, or urinating more often. Common Incruse Ellipta side effects may include: cold symptoms such as stuffy nose, sneezing, sore throat , cough; fast or irregular heartbeats; bruising, darkened skin; mouth pain, tooth pain ; muscle or joint pain; stomach pain; or altered sense of taste.",umeclidinium,Anticholinergic bronchodilators,12%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Stiolto Respimat
Stiolto Respimat,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination, or urinating more often; blurred vision, tunnel vision, eye pain , or seeing halos around lights; high blood sugar - increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or low potassium level - leg cramps, constipation , irregular heartbeats, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common Stiolto Respimat side effects may include: runny nose ; cough; or back pain .",olodaterol and tiotropium,Bronchodilator combinations,12%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Bevespi Aerosphere
aclidinium,COPD,"hives , itching, rash; wheezing, chest tightness, trouble breathing; swelling of your face, lips, tongue, or throat. Aclidinium may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medication; blurred vision, nausea , vomiting , eye pain or redness, or seeing halos or bright colors around lights; increased urination, painful or difficult urination; little or no urinating; or worsening or no improvement in your symptoms. Common side effects of aclidinium may include: stuffy nose, sore throat , sinus pain; cough; or headache .",aclidinium,Anticholinergic bronchodilators,6%,RX,C,
roflumilast,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , depression, trouble sleeping, or if you feel impulsive, or you have thoughts about suicide or hurting yourself. Call your doctor at once if you have rapid and unintended weight loss. rapid and unintended weight loss; tremors; pain or burning when you urinate; Common side effects of roflumilast may include: nausea , diarrhea ; loss of appetite, minor weight loss; headache , dizziness ; occasional sleep problems; back pain ; or flu symptoms.",roflumilast,Selective phosphodiesterase-4 inhibitors,5%,RX,C,
umeclidinium / vilanterol,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Umeclidinium and vilanterol may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using umeclidinium and vilanterol; painful or difficult urination, or urinating more often; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; high blood sugar--increased thirst or urination, hunger, dry mouth, fruity breath odor; or low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common side effects of umeclidinium and vilanterol may include: stuffy nose, sinus pain, sore throat ; chest pain, cough; diarrhea , constipation; muscle spasms; or pain in your neck, arms, or legs.",umeclidinium and vilanterol,Bronchodilator combinations,5%,RX,C,
Bevespi Aerosphere,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: tremors, nervousness, chest pain, fast or pounding heartbeats; wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or low potassium level - leg cramps, constipation, irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common Bevespi side effects may include: cough; or urination problems.",formoterol and glycopyrrolate,Bronchodilator combinations,4%,RX,,
olodaterol / tiotropium,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Olodaterol and tiotropium may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination, or urinating more often; blurred vision, tunnel vision, eye pain , or seeing halos around lights; high blood sugar--increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or low potassium level--leg cramps, constipation , irregular heartbeats, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of olodaterol and tiotropium may include: runny nose ; cough; or back pain .",olodaterol and tiotropium,Bronchodilator combinations,3%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Stiolto Respimat
Striverdi Respimat,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: tremors, nervousness, chest pain, fast or pounding heartbeats; wheezing, choking, or other breathing problems after using this medicine; worsening breathing problems; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common Striverdi Respimat side effects may include: cold symptoms such as stuffy nose, sneezing, sore throat ; cough, shortness of breath, chest discomfort; diarrhea ; dizziness ; pain or burning when you urinate; back pain , joint pain; or rash.",olodaterol,Adrenergic bronchodilators,3%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Stiolto Respimat
olodaterol,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Olodaterol may cause serious side effects. Call your doctor at once if you have: tremors, nervousness, chest pain, fast or pounding heartbeats; wheezing, choking, or other breathing problems after using this medicine; worsening breathing problems; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common side effects of olodaterol may include: cold symptoms such as stuffy nose, sneezing, sore throat ; cough, shortness of breath, chest discomfort; diarrhea ; dizziness ; pain or burning when you urinate; back pain , joint pain; or rash.",olodaterol,Adrenergic bronchodilators,1%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Anoro Ellipta|Stiolto Respimat
